Name,Self CPU %,Self CPU,CPU time %,CPU time,CPU Memory,Self CUDA %,Self CUDA,CUDA time %,CUDA time,CUDA Memory
aten::slice,0.0034526849804750667,60,0.0022442452373087935,39.0,0,0.0,0,0.0,0.0,0
aten::as_strided,0.004488490474617587,78,0.00014961634915391955,2.6,0,0.0,0,0.0,0.0,0
aten::conv2d,0.0023593347366579623,41,6.978372115691152,121268.61538461539,0,0.0,0,0.3544738835996251,255.15384615384616,55402496
aten::convolution,0.011163681436869383,194,6.978190628403716,121265.46153846153,0,0.0,0,0.3544738835996251,255.15384615384616,55402496
aten::_convolution,0.013580560923201928,236,6.977331883677803,121250.53846153847,0,0.0,0,0.3544738835996251,255.15384615384616,55402496
aten::cudnn_convolution,3.160069928379804,54915,6.974113804215233,121194.61538461539,0,4.144149150470263,2983,0.3312840033641356,238.46153846153845,55402496
cudaStreamIsCapturing,0.0036828639791734044,64,5.845815839957784e-05,1.0158730158730158,0,0.0,0,0.0,0.0,0
cudaMalloc,0.41932859087869684,7287,0.011648016413297133,202.41666666666666,0,0.0,0,0.0,0.0,0
cudaGetDeviceCount,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0
cudaDriverGetVersion,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0
cudaDeviceGetAttribute,0.0002877237483729222,5,5.754474967458445e-06,0.1,0,0.03473138744946583,25,0.0006946277489893166,0.5,0
cudaGetDeviceProperties,0.018644498894565358,324,0.009322249447282679,162.0,0,0.0027785109959572664,2,0.0013892554979786332,1.0,0
cudaStreamCreateWithFlags,9.639205928490291,167508,0.3012251852653216,5234.625,0,0.10975118434031203,79,0.003429724510634751,2.46875,0
cudaMemsetAsync,5.9596795447980115,103566,0.8513827921140017,14795.142857142857,0,0.0,0,0.0,0.0,0
Memset (Device),0.0,0,0.0,0.0,0,0.07779830788680346,56,0.012966384647800576,9.333333333333334,0
cudaHostAlloc,0.05829283142035404,1013,0.02914641571017702,506.5,0,0.0,0,0.0,0.0,0
cudaHostGetDevicePointer,0.00017263424902375332,3,8.631712451187666e-05,1.5,0,0.0,0,0.0,0.0,0
cudaFree,42.48126055226847,738230,5.310157569033559,92278.75,0,0.006946277489893167,5,0.0008682846862366458,0.625,0
cudaGetSymbolAddress,0.00011508949934916889,2,0.00011508949934916889,2.0,0,0.0027785109959572664,2,0.0027785109959572664,2.0,0
cudaStreamGetPriority,0.0002877237483729222,5,7.57167758876111e-06,0.13157894736842105,0,0.0027785109959572664,2,7.311871041992806e-05,0.05263157894736842,0
cudaDeviceGetStreamPriorityRange,0.00040281324772209107,7,1.0600348624265554e-05,0.18421052631578946,0,0.0027785109959572664,2,7.311871041992806e-05,0.05263157894736842,0
aten::empty,0.04356137550366042,757,0.0014912660660349757,25.914893617021278,664,0.0,0,0.0,0.0,610447360
cudaLaunchKernel,35.53313484231012,617487,0.06994711583131913,1215.525590551181,0,0.0,0,0.0,0.0,0
"void cask_cudnn::computeOffsetsKernel<false, false>(cask_cudnn::ComputeOffsetsParams)",0.0,0,0.0,0.0,0,0.0041677664939359,3,0.0041677664939359,3.0,0
